,name,comment
25,靥琰,今年16岁，没有什么惊心动魄的少年恋爱，只有一股脑的扎进学习里，连喜欢羡慕小说里轰轰烈烈的校园恋爱，但也只是羡慕，因为我知道，我能依靠的只有自己，家庭条件没有那么好的我，也只能通过学习来提升自己的价值，没有那么多的时间来搞一些没用的，觉得只有吃到肚子里的和学到脑子里的是我自己的
26,十三菇咕咕,好棒好棒！
27,柒婳4,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
28,杰杰子v,累了，蹲下来抱抱自己，依旧倔强的说：也不过如此。
29,gosick包,田里种小麦，心里种玫瑰\n粮食养活我，浪漫治愈我
30,vocalizing,无人可恋来这人间有多浪费
31,佐助_3p6y,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
32,杰杰子v,抱了哦
33,爱吃芝麻的薄荷糖,有志少女先谋生后谋爱。
34,vocalizing,生病了，真的就这么路过人间了吗？这个世界这么大，有这么多人，怎么一个爱我的都没有，我也是活的够可怜的
35,太过平凡哎,有时候完成比完美更重要，加油啊
36,zmyei,你就围着他转吧书别读了.
37,坂上奈奈,班也别上了
38,yan-zt,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
39,杰杰子v,真的呀
40,lookformine,町赤超话来
41,山海也相隔萬里,“别等待，别遗憾，去经历，无所畏惧，反正这个世界，我们只来一次。”
42,-刘六六six,到底在怀念什么呢怀念你对我的好吗好像你也没对我很好所以我到底在怀念什么呢#科普一下#
43,逛街吗额咯了哦咯了,歌词我真的太爱了😭
44,浅搁1806,拿得出手的才算前任，你顶多算污点
45,银河小铁骑kl,好
46,康宁雅的小迷妹,大声的笑大声的哭不做压抑情绪的自私鬼
47,怡的p,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
48,小白不吃生菜,都会好的抱抱你。
49,长空IZUMI,太扎心了
50,我欠撒哈拉一个日落,路过人间，也才几十年
51,亓工部z,女朋友嫌弃我只有168把我绿完甩了之后，立马找了个180+的，后来我找尽无数办法长到了172，虽然我没有完美的身高，但是我始终相信总有一天我会遇到一个满眼都是我的女孩子[可爱]
52,无情哈拉少_工程师,我也想知道怎么长高的
53,Gary吃咖喱,我以后再也不晚上22:00在家《路过人间》了，唱的太大声又双叒叕被邻居投诉。。。\n可是我真喜欢啊！特喵的！我错了！以后不会了！
54,-_睡个好觉_,见不到又想见见了又躲.
55,听雨de心事,既然来了人间就不要路过了，我要好好看一次。
56,桑稚本稚-djx,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
57,杰杰子v,抱抱
58,凉薄青年180824,我要考班级第一！！！！
59,jump_me,今年除夕，她父亲去世了，我好想陪陪她，但她是个要强的女孩子，我们将迎来一生最重要的时刻——高考，我知道她有多难受，可他不想影响我，给我说高考之后再继续，每次看她一个人走在学校的路上，走廊，我就很心痛，但我自尊心也很强，不敢上前去陪着她，只能一直默默地关注着。
60,於路旅人,高考后的错过与遗憾或许就是最好的青春惦念
61,是晓Q呀,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
62,小白不吃生菜,加油啊
63,BlankSpace2018,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
64,小白不吃生菜,加油
65,穿云追日摘星揽月,其实这版我觉得有点吵，如果有个安静一点的版本就好了
66,几怜,2019年华研国际发行的同名专辑
67,Sube雨,成都同求哈哈哈哈哈哈哈哈哈
68,小猫我抱走了,这么巧[多多笑哭]
69,米律松月-,有点累
70,白衫不是杉,慢慢来！以后的路子还很长
71,带一束花吧-,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
72,杰杰子v,哇哦
73,小病猫打卡中,人生好像按下了暂停键，好久没在公交车上听歌了。
74,newwwwwwwwwwwww,我爱你那天开始只能藏在心底
75,一只乔崽崽,“我在冷风里站了好久后来太冷了我就回去了慢慢的我想的越来越少慢慢的我不想了我们再也回不去了”
76,忧郁的秋裤-,谈了五年她十天后有了新男友而我死去活来
77,扌用扌包,无缝衔接的感觉真让人难受
78,-青袂简约,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
79,小白不吃生菜,加油，我们都在这呐
80,阪姬_Lxy,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
81,杰杰子v,真的可以抱抱唉
82,你的阿诗,依然愿意相信爱情但不愿意相信人性
83,意清淳,异地恋分手了，正在坐高铁去挽回了~祝我顺利
84,Winamp_xgy,做你想做的加油
85,人间无真理宇宙有多大,今年16岁，没有什么惊心动魄的少年恋爱，只有一股脑的扎进学习里，连喜欢羡慕小说里轰轰烈烈的校园恋爱，但也只是羡慕，因为我知道，我能依靠的只有自己，家庭条件没有那么好的我，也只能通过学习来提升自己的价值，没有那么多的时间来搞一些没用的，觉得只有吃到肚子里的和学到脑子里的是我自己的
86,十三菇咕咕,确实
87,无人处寻你,看你这段，一不小心泪目了！\n她说出口，也许也考量了许久，也很痛，很不舍！但异地真的比你想象的更苦，更多！不用怪什么，都是路过人间，过好当下！也愿你释怀，重新沐浴新的阳光！
88,真美宝宝,我的她是，担心马上会异地，跟我说分手，我还有一个月考研。她现在提说是感觉越来越喜欢怕分不掉后面找她出去聊抱着哭。希望不影响我考试😭
89,图图的兔兔W,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
90,小白不吃生菜,加油
91,nvcjugcxg,最近考研备战焦虑期全靠路过人间续命
92,我的你的他的他的还是我的,加油
93,无人处寻你,异地，我比她大，今年考研。确实考研期间有些冷落她。\n心里想过无数次，考完之后该怎么补偿她，以后也该怎么过\n可是她说“你对我很好，真的特别适合结婚，但异地还有这么久，我还这么小，完全没必要辛辛苦苦谈一个结婚对象，我还小，没谈过几次恋爱，完全可以谈自己身边的，有很多试错机会”\n我人傻了
94,必上交大_,兄弟加油，总比我这个时候分手好吧。她觉得我马上毕业了，她不想异地恋上周跟我分手，我也傻了
95,nvcjugcxg,今年16岁，没有什么惊心动魄的少年恋爱，只有一股脑的扎进学习里，连喜欢羡慕小说里轰轰烈烈的校园恋爱，但也只是羡慕，因为我知道，我能依靠的只有自己，家庭条件没有那么好的我，也只能通过学习来提升自己的价值，没有那么多的时间来搞一些没用的，觉得只有吃到肚子里的和学到脑子里的是我自己的
96,十三菇咕咕,加油
97,无人处寻你,两个星期之前听这首歌，我感觉歌词就那样吧\n分手一个星期了，这歌词就突然唱到我心里了
98,L1216_kcjv,⠀\n⠀⠀\n⠀⠀\n『我希望正在读这句话的人永远开心』⠀\n⠀\n⠀\n⠀
99,我sei芽芽,你也是
100,L1216_kcjv,⠀\n⠀⠀\n⠀⠀\n『我希望正在读这句话的人永远开心』⠀\n⠀\n⠀\n⠀
101,我sei芽芽,好
102,今日份心动嗯,一切都会好起来的
103,爱泽的林,xls
104,今日份心动嗯,一切都会好起来的
105,爱泽的林,xls
106,夫君有礼,我从来就不是个大度的人，你说过只爱我，后来爱上别人并不是什么大错，但我就是一辈子都会恨你。
107,爱泽的林,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
108,小白不吃生菜,一切都会好起来的
109,myluckcontinues,直到你离开的那一天，我都没有读懂你出现的意义
110,FXXYF,很爱郁可唯的声音和她的歌，每个人都是独一无二的，祝你们活出自我🙆
111,小毛千,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
112,小白不吃生菜,回复我，11.2811:42
113,祝你幸福混蛋_,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
114,小白不吃生菜,加油会好起来的我相信你
115,董先尧,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
116,杰杰子v,[大笑][大笑][大笑]
117,1米8萌妹,其实这版我觉得有点吵，如果有个安静一点的版本就好了
118,几怜,偏偏喜欢这种摇滚编曲
119,desert-竹,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
120,小白不吃生菜,加油啊
121,Ellzo,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
122,小白不吃生菜,加油吧陌生人
123,TNT的许愿瓶,不会😅好好学习好好搞钱才是正道不要把恋爱当成生活全部歌词里的这句话不要看的太浪漫了不要陷进去能劝一个是一个
124,姜鸽zzzz,我说的也是反话啦没有觉得这个年纪的爱情有什么
125,马爱吃萝卜,人最大的改变其实是一成不变
126,负罪独醉,你就说吧，谈恋爱的是他们，被影响的就是你
127,LA-desperado,拿得出手的才算前任，你顶多算污点
128,银河小铁骑kl,嗯
129,喻山秋,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
130,小白不吃生菜,快点醒过来
131,mandy鲸落,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
132,小白不吃生菜,会好起来的你看今天的暖阳
133,Xun-悟kong,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
134,小白不吃生菜,加油，陌生人
135,----well----,原来异性之间真的会有神仙般的友谊，没有情人般的爱恋但又是毫无隔阂的相处✧我的小理他的老齐，我孩子的干爸他孩子的干妈
136,江南有易言,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
137,杰杰子v,要快乐哦
138,不过是诗人说梦,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
139,小白不吃生菜,会好的
140,Zhaochenhui,希望我和他都能考上大学
141,Qliii_Deev,这首歌好治愈最近遇到了周围的人也很治愈突然好有活力幸福感好强
142,叫我马利昂,前奏有点像blueMonday，每次听都听岔哈哈
143,寒荣呀,现在是2021.11.28我会在高中三年好好努力三年加油！
144,爱死小阿卓,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
145,杰杰子v,抱抱
146,丝米糕,你就围着他转吧书别读了.
147,坂上奈奈,笑死
148,渣渣辉_Bvna,有什么办法让前任回来么？或者说，把他忘了
149,佳人为伊,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
150,小白不吃生菜,加油！
151,千昭-m,拿得出手的才算前任，你顶多算污点
152,银河小铁骑kl,嗯
153,妍妍babyxx,异地恋分手了，正在坐高铁去挽回了~祝我顺利
154,Winamp_xgy,他想放弃你那刻心里就没有你了，或许抱着新欢呢，不如好好生活。你去了之前见过太爱你的样子现在看见他不爱你的样子只会更加心酸。那刻就真的死心了
155,顾柒_yJad,可是坏情绪不能像歌一样被分享。
156,FForget-Go,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
157,杰杰子v,牛逼
158,子衣衣衣衣,好好活着，不要再被伤害了。
159,无语子en,我不管，我的前途比他重要多了，用他来换我的喜乐\n别su了，我很愿意
160,无语子en,如果是真的相互喜欢，那么两个人是会慢慢变好的
161,无语子en,我不管，我的前途比他重要多了，用他来换我的喜乐\n别su了，我很愿意
162,小七不配听网易音乐-,你就围着他转吧书别读了.
163,坂上奈奈,初中不懂事，玩了好几个。高中我懂事了知道了前途的重要性，再无喜欢的人.
164,_TFBOYS0806-,拿得出手的才算前任，你顶多算污点
165,银河小铁骑kl,@山城邮寄员笑死我了我没前任
166,想和你一起看黄昏a,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
167,小白不吃生菜,加油啊宝贝
168,不吃猫的鱼MZ,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
169,小白不吃生菜,加油加油加油
170,寒秋逐夏,今天要和喜欢的女生第一次约会，她很美，希望我能不差
171,寒秋逐夏,今天要和喜欢的女生第一次约会，她很美，希望我能不差
172,瘾LWL默,俗人一个
173,用户3921055260,6
174,我们一定要幸福鸭,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
175,杰杰子v,学会了🤭
176,我为啥要取名_xSEj,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
177,杰杰子v,[多多大笑]
178,Eliauk_JikL,你要分得清喜欢和爱的区别
179,Eliauk_JikL,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
180,杰杰子v,抱啦
181,初一2333,忧伤钻入眼底，侵蚀我的肉体，啃噬我的灵魂。
182,ZoomQuiet,#是也乎#\n╮(╯▽╰)╭\n\n
183,-_温柔美人吟,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
184,小白不吃生菜,加油会好起来的
185,早睡早起好宝宝_,突然你就看不懂他的眼神了解不了他烦躁的那些理由
186,爱唱歌的可乐妈,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
187,小白不吃生菜,加油陌生人
188,-林梓默,曾经辜负哪位，这才被亏欠
189,乌云雨丶,异地恋分手了，正在坐高铁去挽回了~祝我顺利
190,Winamp_xgy,异地恋最好不要多说话，这样对四个人都好[可爱]
191,随遇而安190504,爱是不用教的，如果感受不到，就换个人感受吧
192,初曦呐,好啊
193,i小北七,我是确实没想过，有一天要把去疤痕的凝露当身体乳抹[汗]\n不是半夜emo，实在是没地方吐槽🙉
194,落笔即焚,加油
195,用户3907187525,怎么办，睡眠时间越来越少，之前6个小时，现在4个小时3个小时自动就醒了
196,内拱的方块,女孩子要分清什么是学习什么是爱情学好了考好了前途一片光明爱错了青春毁了人生一败涂地
197,八爷女人,男生也是啊
198,合不来_1r1f,邢歌音说他又不是年年18，当然要拍照记录了！她是我的意难平，我平心而论我带她很好了，我不明白为什么会误解我？？为啥会离开我，你怎么就不信我呢，还说我是下头男
199,啦啦啦啦啦_B4bF,所以一个足够理性的人是不适合一个感性的人的，同样面对一件事物两人总有不同的观点，若那个人不够固执便罢，若足够固执则会两相争执，互相伤害，最后不欢两散而已
200,猫叔COVE,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
201,小白不吃生菜,如无恙，请回复[爱心]
202,啦啦啦啦啦_B4bF,异地恋分手了，正在坐高铁去挽回了~祝我顺利
203,Winamp_xgy,我也想过，可我没做，希望你追回的他会爱你一辈子
204,魔法师的老姨,唱些什么
205,左衞門X,嗯，147个小时，确实久因为我等了好久，也不久因为等麻了，嗯，怎么说呢，很高兴你能回来，但是我看不透你，我累了，也没力猜了，想回来的话明说吧，然后别再闹了，我没力气了
206,左衞門X,原来你找我是为了她啊，是我自作多情了，你们发给我你们两的牵手照，真的很刺眼
207,想去撒哈拉l,早上闹了矛盾，我穿上外套就出去了，他没追上来，没问我去哪。我不知道去哪里，坐公交车到终点站，散了会步，又坐回来。他和朋友打球去了，晚上也没有回来。一整天也没问我去哪里了，也没问我回没回来。\n成都公交车这几天免费，坐在后面流泪也没被发现，真好。
208,王康炼,你就围着他转吧书别读了.
209,坂上奈奈,哎
210,别叫我起床11,快快擦干眼泪
211,C0_8,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
212,杰杰子v,好可爱o
213,苏亖月,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
214,小白不吃生菜,必有后福[拜]
215,Lqingtao-,这首歌的作词人写的《后来》字里行间满满的表达了那种不甘心，而这首歌却是满满的释怀，可能路过的人是没有后来的，可我们却有各自的生活
216,PolvoEstelar,“祝我们遇见的每一个人都很真诚”
217,喜欢小熊吗,嘿嘿，谢谢你嗷[多多可怜].
218,lloost,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
219,杰杰子v,抱抱
220,来摘棉花吧,你分享给我的我下次不会找你了
221,南傾jpn,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
222,杰杰子v,[多多大笑]
223,帅气的LUO先生,晚安
224,陈飞弛,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
225,杰杰子v,你好
226,清醒_000,怪我看到了你对我们共同好友说，不会辜负我的。你知道吗，这句话害我期待着你回来，主动了一次又一次
227,萧悦是个大帅哥,暗恋3年，谈恋爱3个月，就被他甩。。。我这次是真的走不出来了，也不知道会不会好啦
228,a-_-been,天下好男人多的是，三条腿的癞蛤蟆没有，两条腿的男人多的是（要好好的不要那么难过）
229,萧悦是个大帅哥,暗恋3年，谈恋爱3个月，就被他甩。。。我这次是真的走不出来了，也不知道会不会好啦
230,a-_-been,摸摸～慢慢的来
231,萧悦是个大帅哥,跟她分手了已经是第25天了，其实心里面还是有那么一点点放不下她，就当时知道11.25号那天知道她有另外一个男生了心里面还是挺不好受的那天真的比较难受吧（爸爸妈妈离婚了，她也有另外一个男孩子陪她了），我本以为她是可以给我拉上来的，结果又要让我一个人大晚上一遍又一遍的哭，嘿嘿我又是一个人
232,民国不下雨今生不遇你,她的名字以前也叫路过人间
233,DAN蛋总,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
234,杰杰子v,牛
235,宝小芒果,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
236,小白不吃生菜,陌生人加油
237,六元小朋友_,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
238,小白不吃生菜,加油💪
239,灿灿头上长呆毛,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
240,小白不吃生菜,宝贝加油！！！！会好起来的！！
241,下次再见UU,你就围着他转吧书别读了.
242,坂上奈奈,破防了
243,dlwlrma_恩,试着跟大家说声对不起，情绪虽然不好把控，自我调节很重要
244,派送快樂,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
245,小白不吃生菜,加油，一切都会好的
246,与光同尘_RTSO,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
247,小白不吃生菜,加油
248,霖Cccc-,好听！！！！！
249,保持热爱-炸爷,“原来缺爱的那个人在收到礼物的时候不是感到惊喜而是盘算着怎么报答”
250,Edemoy-Wu,哦原来我是因为缺爱…………
251,北依_,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
252,小白不吃生菜,加油
253,用户2113832540,我愿以我二十年命换在座各位余生皆欲良人晚安
254,原来我就是哈,要爱自己
255,lizi8856,阳光是免费的，其实月光也是免费的，而且更加公平，所以不要不开心，晒不到阳光，就去享受月光，水逆终会退散
256,人间得宠大胖胖,@温柔柔柔柔柔柔睡个好觉，做个好梦
257,小锅在工学院,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
258,杰杰子v,okok
259,Zoe-贝贝,杨紫歌单❤️💕
260,-_nosnow,拿得出手的才算前任，你顶多算污点
261,银河小铁骑kl,嗯！
262,七夕200915,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
263,小白不吃生菜,会好的，因为我已经做过4次手术了下个月还有手术，开心点，早日康复😄
264,杨柠_om41,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
265,杰杰子v,真的！
266,凤涧鶴邺,现在是2021年11月28日晚上0.31分我不知道一年以后四年以后十年之后我的生活是什么样子的希望那时候我可以平庸幸福地生活着至少自己内心是快乐的也许以后我不会活成我想要的样子也许也会活成我所厌恶的样子但是在这里我想说我想要陪着xzr我想我身边一直是她一年四年乃至十年
267,颖儿要乖o,如果没有爱情，有钱也是好的
